Index,airfoil,r_le,x_t,y_t,k_t,beta_te,gamm_le,x_c,y_c,k_c,alpha_te
82,clarkys,-0.014475390890855878,0.30615967376485437,0.05897276237884675,-0.4383019771992601,0.1439940983724543,0.07907381108661914,0.287693192722678,0.025296869022457858,-0.8689027179671096,0.0020011041159421553
83,clarkz,-0.014787087533957646,0.30476757438654684,0.058638648183954846,-0.3681062610199806,0.13506321303808497,0.21038879066681912,0.3493629306845021,0.040145346468991136,-0.026212188516307643,0.11556441565259574
84,clarym15,-0.018203141448805412,0.3043624123826161,0.0751941053426293,-0.5032510982255642,0.172674229802288,0.17913376877273327,0.3841735072696762,0.03538838237802185,-0.12499675247209256,0.10047854090492171
85,clarym18,-0.030614072106902555,0.30423814990641646,0.09048518359768265,-0.6399163304220189,0.214296746139224,0.07826983921233438,0.38558070042397286,0.0362084731288795,-0.397295241731143,0.20259241178920476
86,cr1,-0.017612051374131823,0.28058752812659826,0.06202779294268886,-0.4649403564787697,0.19072227148729493,0.002020133742656081,0.3929334890828157,0.04802566715403674,-0.6023764161606958,0.0034334399256116337
87,davis,-0.002314402207493737,0.30020220933664493,0.0567193550141751,-0.48639160479086124,0.24933439389707832,0.17828241803319284,0.42608432885640923,0.037086956705250064,-0.3187625105711334,0.12399271974647205
88,davis_corrected,-0.017993749434621217,0.2947149672617103,0.07951904974539838,-0.9,0.1299737002238877,0.05318603463676385,0.31166083355519736,0.024681468576850787,-0.4967665094431517,0.0047306976024749075
89,dfvlrr4,-0.012352032079101188,0.38866619790770884,0.06599462766280068,-0.2822446420587101,0.08414836335720842,0.09103512714900953,0.7512660063204446,0.016900946407285657,-0.1407749887507386,0.289887342481462
90,doa5,-0.01721440710573931,0.40470765207825365,0.08007755355954001,-0.4019819155458034,0.13076766964085204,0.17146788226334275,0.7068212179083888,0.022457263190331263,-0.025273486288928247,0.21131145329529996
91,dsma523a,-0.04994497379847645,0.34701488994168284,0.055256570520754174,-0.21762441390636392,0.05739669252285754,0.002002117172905047,0.8497591542026308,0.021733315322126374,-1.7498846852515024,0.6859765787150247
